Ticker,Price,High52W,PctBelow,MarketCapM,AvgVolK,AvgDolVolM,Sector,Industry,Indexes,AI,Uranium,Chg3moPct,Px3moAgo,TrendUp,DataFlag
NWBI,14.0,14.13,0.92,2048.4,1283.7,17.97,Financial Services,Banks - Regional,,,,9.92,12.74,Y,
AVNS,24.68,24.91,0.9,1155.9,1348.6,33.29,Healthcare,Medical Devices,,,,71.9,14.36,Y,
YPF,48.58,49.0,0.86,20497.7,2461.5,119.58,Energy,Oil & Gas Integrated,,,,30.21,37.31,Y,
BTSG,59.59,60.08,0.82,11555.6,2961.9,176.5,Healthcare,Health Information Services,,,,46.05,40.8,Y,
AKR,22.1,22.27,0.76,2950.7,1108.6,24.5,Real Estate,REIT - Retail,,,,8.8,20.31,Y,
KW,11.01,11.09,0.72,1533.7,1187.6,13.08,Real Estate,Real Estate Services,,,,2.6,10.73,Y,
HPE,37.98,38.25,0.71,50393.9,17421.5,661.67,Technology,Communication Equipment,SP500,Y,,85.29,20.5,Y,
HR,20.45,20.6,0.7,7088.1,3637.9,74.41,Real Estate,REIT - Healthcare Facilities,,,,11.48,18.35,Y,
ERIC,13.57,13.66,0.66,45117.7,10032.5,136.19,Technology,Communication Equipment,,,,23.1,11.03,Y,
FBP,24.42,24.57,0.61,3777.4,1408.9,34.41,Financial Services,Banks - Regional,,,,10.45,22.11,Y,
DOC,19.77,19.89,0.6,13629.8,8121.0,160.55,Real Estate,REIT - Healthcare Facilities,SP500,,,14.86,17.21,Y,
PEB,15.0,15.08,0.53,1700.5,2445.9,36.69,Real Estate,REIT - Hotel & Motel,,,,22.65,12.23,Y,
SHO,10.73,10.78,0.51,1998.0,1765.1,18.93,Real Estate,REIT - Hotel & Motel,,,,15.62,9.28,Y,
UE,22.44,22.55,0.49,2827.9,890.9,19.99,Real Estate,REIT - Retail,,,,7.96,20.79,Y,
BUSE,27.47,27.57,0.38,2322.9,583.2,16.02,,,,,,7.13,25.64,Y,
SIRI,29.67,29.78,0.37,9989.2,4681.1,138.91,Communication Services,Entertainment,,,,43.28,20.71,Y,
APLE,14.59,14.64,0.36,3443.0,3284.3,47.9,Real Estate,REIT - Hotel & Motel,,,,21.38,12.02,Y,
CSTM,34.81,34.94,0.36,4740.1,2349.8,81.81,Basic Materials,Aluminum,,,,33.96,25.99,Y,
MAC,22.62,22.69,0.29,6413.3,2542.1,57.52,Real Estate,REIT - Retail,,,,10.84,20.41,Y,
KALV,26.77,26.85,0.28,1425.5,3131.1,83.84,Healthcare,Biotechnology,,,,69.89,15.76,Y,
DNP,10.88,10.9,0.23,4097.9,681.4,7.41,Financial Services,Asset Management,,,,4.32,10.42,Y,
SILA,30.23,30.3,0.23,1669.9,712.6,21.54,Real Estate,REIT - Healthcare Facilities,,,,17.95,25.63,Y,
LXP,52.83,52.94,0.21,3114.5,525.0,27.74,Real Estate,REIT - Industrial,,,,9.42,48.28,Y,
FFBC,31.17,31.23,0.19,3270.6,853.8,26.61,Financial Services,Banks - Regional,,,,6.94,29.15,Y,
KIM,24.29,24.33,0.18,16381.7,4981.0,120.99,,,SP500,,,5.33,23.06,Y,
BEP,36.35,36.4,0.14,11024.1,880.9,32.02,Utilities,Utilities - Renewable,,,,14.38,31.78,Y,
DBRG,15.7,15.72,0.13,2863.2,3058.6,48.02,Financial Services,Asset Management,,,,2.35,15.34,Y,
HST,22.97,23.0,0.13,15731.7,8523.6,195.79,Real Estate,REIT - Hotel & Motel,SP500,,,17.78,19.5,Y,
PECO,40.88,40.92,0.1,5149.5,865.6,35.39,Real Estate,REIT - Retail,,,,5.16,38.87,Y,
KRG,27.51,27.53,0.07,5586.4,1895.8,52.15,Real Estate,REIT - Retail,,,,7.21,25.66,Y,
BCAT,15.62,15.64,0.06,1637.1,696.0,10.88,Financial Services,Asset Management,,,,8.87,14.35,Y,
TXNM,59.48,59.5,0.03,6584.9,1346.5,80.09,Utilities,Utilities - Regulated Electric,,,,0.79,59.01,Y,
